#Software	Original_ID_Pattern	Target_Class	Target_Superfamily	Notes
# ==============================================================================
# RepLibBuilder TE Mapping Rules
# ==============================================================================
# 1. SOFTWARE-SPECIFIC RULES (Highest Priority)
# ==============================================================================
# EDTA: DT* encoding -> Dfam canonical superfamilies
# Generic TIR superfamilies -> Dfam parent / Dfam canonical
TEsorter	(?i)^TIR/MULE$	DNA	MULE	TEsorter_MULE_to_MULE_parent
TEsorter	(?i)^TIR/CMC$	DNA	CMC	TEsorter_CMC_to_CMC_parent
TEsorter	(?i)^TIR/Kolobok$	DNA	Kolobok	TEsorter_Kolobok_to_Kolobok_parent
TEsorter	(?i)^TIR/Merlin$	DNA	Merlin	TEsorter_Merlin_to_DNA_Merlin
TEsorter	(?i)^TIR/Novosib$	DNA	Novosib	TEsorter_Novosib_to_DNA_Novosib
TEsorter	(?i)^TIR/P$	DNA	P	TEsorter_P_to_DNA_P
TEsorter	(?i)^TIR/Zator$	DNA	Zator	TEsorter_Zator_to_DNA_Zator
TEsorter	(?i)^TIR/Transib$	DNA	CMC-Transib	TEsorter_Transib_to_CMC_Transib
# Sola: TEsorter uses Sola1/2/3 (no dash); Dfam uses Sola-1/-2/-3 (with dash)
TEsorter	(?i)^TIR/Sola1$	DNA	Sola-1	TEsorter_Sola1_to_Sola_1
TEsorter	(?i)^TIR/Sola2$	DNA	Sola-2	TEsorter_Sola2_to_Sola_2
TEsorter	(?i)^TIR/Sola3$	DNA	Sola-3	TEsorter_Sola3_to_Sola_3
# v5.3.5: Academ has no Dfam parent canonical (Dfam only defines Academ-1/-2/-H).
# Returning DNA/Academ would emit a label RepeatMasker .tbl cannot recognise,
# so we collapse to DNA/Unknown (matches the Repbase ^Academ.* -> DNA/Unknown
# policy and avoids non-canonical leakage).
TEsorter	(?i)^TIR/Academ$	DNA	Unknown	TEsorter_Academ_to_DNA_bare
# TEsorter non-DNA Orders that aren't Dfam Classes
TEsorter	(?i)^Helitron/unknown$	RC	Helitron	TEsorter_Helitron_to_RC
TEsorter	(?i)^pararetrovirus/unknown$	LTR	Caulimovirus	TEsorter_pararetrovirus_to_Caulimovirus
